College,Number of Authors,Name of Authors,doi
"Vardhaman College of Engineering, Hyderabad",3,"Pooja Kandimalla, Priyanka Vatte, Chandra Sekhar Rao Bandar",10.1186/s42834-022-00153-8
"CSIR-National Environmental Engineering Research Institute, Nagpur",3,"Ekta Singh, Sunil Kumar, Lal Singh",10.1080/21655979.2022.2126093
Annamalai University,1,Selvaraj Milton Prabu,10.1080/10408398.2022.2078104
NIT Kurukshetra,2,"V V S N Murty, Ashwani Kumar",10.1186/s41601-022-00229-y
"PGIMER, Chandigarh",5,"Debajyoti Chatterjee, Khushboo Lath, Bishan Radotra, Ashok K Gupta, Paramjeet Singh",10.1097/PAI.0000000000000990
"Government Shyama Prasad Mukharjee College, Sitapur",1,Praveen K Sahu,10.1063/5.0061890
"Sai Vidya Institute of Technology, Rajanukunte",2,"Yenumaladoddi Jayasimha, R Venkata Siva Reddy",10.1080/19361610.2021.1898121
"Manipal Academy of Higher Education, Manipal, Karnataka",2,"M. G. Mahesha, Ashok Rao",10.1007/s10854-020-03240-x
IIT Roorkee,2,"Elyas Khairandish, Surendra Kumar Mishra,",10.1007/s40808-020-00823-9
NIT Kurukshetra,2,"V V S N Murty, Ashwani Kumar",10.1002/2050-7038.12780
"AIIMS, New Delhi",1,Shivam Pandey,10.4103/2395-5414.304535
IIT Bombay,1,Bellie Sivakumar,10.1016/j.jhydrol.2020.125678
University of Calcutta,1,Sauradipta Banerjee,10.1007/s12038-020-00116-4
Garden City University,2,"Vani Chakraborty, Meentachi Sundaram",10.1088/1742-6596/1427/1/012017
"Manipal University, Jaipur",2,"Manoj Kumar Sharma, Vanshika Chanderiya",10.1007/s12046-020-01516-w
Maulana Azad Medical College and Hospital,3,"Davinder Koli, Manu Vats, Harsh Vardhan Upreti",10.1007/s12328-020-01266-6
TempleCity Institute of Technology and Engineering,1,Satya Prakash Rout,10.1109/ICCCNT49239.2020.9225680
"JNTU, Anantapur",1,Jayavani Lagudu,10.1080/01430750.2020.1831068
"ESIC Dental College, New Delhi",1,Susmita Saxena,10.4103/0973-029X.294654
Hindusthan College of Engineering and Technology,1,P F Khaleelur Rahiman,10.1177/1460458220943995
"Annapoorna Engineering College, Salem",1,B. Ramesh,10.1007/s11036-019-01391-8
"GLA University, Mathura",3,"Akhilesh Kumar Singh, Vinesh Kumar, Sharad Pratap Singh",10.1007/978-3-030-37051-0_108
Datta Meghe Institute of Medical Sciences,4,"Shreyans Aditya Jain, Nilesh Rathi, Nilima Thosar, Sudhindra Baliga",10.17245/jdapm.2020.20.2.105
"Walchand Engineering College, Sangli",2,"Atul S Patil, Seema P Diwan",10.1109/ICIMIA48430.2020.9074945
"Institute of Engineering and Technology, Lucknow",2,"Rahul Kushwaha, Kuldeep Sahay",10.1109/ICIMIA48430.2020.9074865
Utkal University,2,"Ramesh Chandra Sahoo, Sateesh Kumar Pradhan",10.1109/Confluence47617.2020.9058060
"National Institute of Science Education and Research, Bhubhaneshwar",1,Sudhakar Panda,10.1140/epjc/s10052-020-7831-z
IIT Roorkee,2,"Pramod Sharma, Jogendra Kumar Nayak",10.1016/j.jhtm.2020.02.001
"Himalayan Institute of Medical Sciences, Dehradun",1,Sudip Bhattacharya,10.3934/publichealth.2023002
IIT Roorkee,2,"Bhola Ram Gurjar, Rajat Agrawal",10.1016/j.engfailanal.2019.104192
"KR Mangalam University, Gurugram",2,"Sukhbir Singh, Ranjit Varma",10.1007/s11277-022-09941-2
ICAR Indian Institute of Pulses Research,4,"P S Shanmugavadivel, K Aravind Kumar, K R Soren, Garima Yadav",10.1007/978-3-030-20728-1_12
Aligarh Muslim University,3,"Bilal Ahmad, Aamir Raina, Samiullah Khan",10.1007/978-3-030-20728-1_12
"CSB-Central Sericultural Research & Training Institute (CSR&TI), Pampore",3,"Pawan Saini, Mudasir Gani, S. S. Chauhan",10.1007/978-3-030-20728-1_12
"Manipal University, Jaipur",2,"Manoj Kumar Sharma, Harshit Verma",10.1007/978-981-13-8406-6_76
IIT Roorkee,2,"Pramod Sharma, Jogendra Kumar Nayak",10.1016/j.jdmm.2021.100673
Central University of South Bihar,1,Puneet Mishra,10.1021/acsnano.9b04428
"VIT, Vellore",1,Arun Kumar Sangaiah,10.3390/app9112316
Sathyabhama Institute of Science and Technology,3,"B Baron Sam, A Lokesh Reddy, A Prabhakar",10.1088/1757-899X/590/1/012070
Sathyabhama Institute of Science and Technology,3,"B Baron Sam, T S Sandeep, V Sai Sreenath Reddy",10.1088/1757-899X/590/1/012069
Sathyabhama Institute of Science and Technology,4,"B Baron Sam, K Purna Chander, K Vinay, A Pio Sajin",10.1088/1757-899X/590/1/012068
Sathyabhama Institute of Science and Technology,3,"B Baron Sam, Abhilash Ekka, M Ashfaq Hingora",10.1088/1757-899X/VVV/1/012067
"ICFAI Foundation for Higher Education, Hyderabad",1,Vighneswara Swamy,10.1007/s40953-021-00251-1
"Gurukul Vidyapeeth Institute of Engineering and Technology, Punjab",1,Parismita Borah,10.1007/s42452-021-04693-3
"UPES, Dehradun",1,Sudhir Kumar Chaturvedi,10.1016/j.joes.2021.02.003
"Shiv Nadar University, Noida",2,"Bhaskar Kaviraj, Dhirendra Sahoo",10.1039/D1RA90095A
"JNTU, Kakinada",1,Goddu Baburao,10.1016/j.jct.2020.106325
"VIT, Vellore",2,"A Sangeetha, I Srinivasa Rao",10.1007/s11277-021-08138-3
Koneru Lakshmaiah Education Foundation,2,"Srinivasa Rao Dasari, Nareshvarma Seelam",10.1002/jhet.4201
NIT Srinagar,3,"Raheela Rasool, Najeeb-ud-Din, G M Rather",0.1007/s10825-020-01640-0
"AIIMS, New Delhi",2,"Ashish Prasad, Om Prakash Kharbanda",10.5152/TurkJOrthod.2020.80240
IIT Roorkee,2,"Pramod Sharma, Jogendra Kumar Nayak",10.1002/jtr.2385
"NMAM Institute of Technology, Karkala",2,"M Megha, V Ansal",10.1007/978-981-15-0626-0_42
University of Delhi,1,Deobrat Singh,10.1007/s13538-020-00774-7
"KCG College of Technology, Karapakkam",1,Prabakeran Saravanan,10.1007/s11277-019-06385-z
"Vignan's Institute of Information Technology, Guntur",2,"Prathiba Jonnala, Ummadi Janardhan Reddy",10.18280/isi.240208X
Panjab Engineering College,1,Kamal Kumar,10.1007/978-3-030-18854-2_12
NIT Calicut,2,"Sivakumar Balakrishnan, Krishnamurthy Karuppanagounder",10.1080/17457300.2020.1746049
"Walchand Engineering College, Sangli",2,"Vishal Mahavir Katkar, S P Diwan",10.1109/ICICICT46008.2019.8993199
"CSIR-National Chemical Laboratory, Pune",4,"Madhukar S. Said, Govinda R. Navale, Jayant M. Gajbhiyeab, Sandip S. Shinde",10.1039/D0RA90009E
Aligarh Muslim University,2,"Rafiquddin, Mohammad Fareed Ahmad",10.2478/cm-2019-0014
Global Institute of Public Health,1,Vijay Kumar Chattu,10.4103/2277-9531.274553
"Educare Institute of Dental Sciences, Malappuram",1,Sam Paul,10.5125/jkaoms.2019.45.6.377
SVVV Indore,2,"Akanksha Pal, Abhishek Singh Rathore",10.1007/978-3-030-14718-1_12
NIT Kurukshetra,2,"Abhishek Singh, Pradeep Kumar",10.1109/ICESIP46348.2019.8938287
"Jain College of Engineering, Belgavi",1,Sridhar Iyer,10.1007/s41870-019-00404-9
Jadavpur University,1,Shantanu Das,10.1007/s12043-019-1874-4
Valliammai Engineering College,1,Nibi Maouriyan,10.1109/ICCCT2.2019.8824945
"Sri Ganga Ram Hospital, New Delhi",2,"Gaurav Roy, Papai Roy",10.1016/j.ijsu.2019.08.018
"National Institute for Research in Reproductive Health, Mumbai",2,"Sadhana M Gupta, Jayanti Mania-Pramanik",10.1186/s12929-019-0545-6
"UPES, Dehradun",2,"Jolly Upadhyay, Neelu Joythi Ahuja",10.1080/0361526X.2019.1617565
Annamalai University,3,"V Vaithiyanathan, V Balasubramanian, S Malarvizhi",10.1007/s41939-019-00050-5
Sikkim Manipal Institute of Medical Sciences,3,"Onila Nongmaithem, T Shantikumar, Sudip Dutta",10.4103/0971-5916.264275
Cochin University of Science and Technology,1,Shreya Krishna,10.4271/2019-01-1351.1
Gayatri Vidya Parishad College of Engineering,1,R Velumani,10.1007/s11277-019-06168-6
Sri Ramakrishna Mission Vidyalaya College of Arts and Science,2,"Sugumarana Harikrishnan, Kuppusamy Kanagarajan",10.1007/s13398-019-00645-0
