journal,Publisher_abdc,ISSN,year_inception,FoR,abdc_ranking,year
Advances in Public Interest Accounting,Emerald Group Publishing,"1041-7060	","1986	",3501,C,2022
Advances in Strategic Management,Emerald Group Publishing,"0742-3322	","1983	",3507,C,2022
Advances in Taxation,Emerald Group Publishing,"1058-7497	","1987	",4801,B,2022
Advertising & Society Review,Johns Hopkins University Press,2475-1790,"2000	",3506,C,2022
Afaq Iqtisadiyyah,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication ,"1024-266X	","1980	",3801,C,2022
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,"0850-3907	","1976	",3899,C,2022
African Development Review,Wiley-Blackwell Publishing,"1017-6772	","1989	",3899,C,2022
African Economic History,University of Wisconsin Press,"0145-2258	","1974	",3801,C,2022
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd. ,"2046-8083	","2012	",3501,C,2022
"African Journal of Accounting, Economics, Finance and Banking Research",Global Business Investments and Publications,"1933-3404	","2007	",3502,C,2022
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,"1993-3738	","2006	",3801,B,2022
African Journal of Business and Economic Research,Adonis and Abbey Publishers Ltd,"1750-4554	","2006	",3801,C,2022
African Journal of Economic and Management Studies,Emerald Group Publishing,"2040-0705	","2010	",3507,C,2022
African Journal of Economic and Sustainable Development,Inderscience Enterprises Ltd.,"2046-4770	","2012	",3801,C,2022
African Review of Economics and Finance,Wits University Press,2042-1478,2009,3801,C,2022
Afrika Spectrum,Deutsches Institut für Afrika-Forschung,"0002-0397	","1966	",3801,C,2022
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,"1751-6447	","2008	",3502,C,2022
AgBioForum,Illinois Missouri Biotechnology Alliance ,"1522-936X	","1998	",3801,C,2022
Agenda: a journal of policy analysis and reform,Australian National University ,"1322-1833	","1994	",3801,B,2022
Agribusiness: An international journal,Wiley-Blackwell Publishing,"0742-4477	","1984	",3801,C,2022
Agricultural and Resource Economics Review,Cambridge University Press,"1068-2805	","1972	",3801,B,2022
Agricultural Economics,Wiley-Blackwell Publishing,"0169-5150	","1928	",3801,A,2022
Agricultural Economics and Rural Development,Institute of Agricultural Economics,"	","2004	",3899,C,2022
Agricultural Economics Research Review,Agricultural Economics Research Association,"0971-3441	","1988	",3899,C,2022
Agricultural Economics Review,Greek Association of Agricultural Economists,"1109-2580	","2000	",3899,C,2022
Agricultural Finance Review,Emerald Group Publishing,"0002-1466	","1931	",3502,C,2022
Agriculture and Human Values,Springer International Publishing,"0889-048X	","1984	",3801,B,2022
Air and Space Law,Kluwer Law International ,"0927-3379	","1974	",4801,B,2022
AIS Educator Journal,Allen Press Inc.,"1935-8156	","2006	",3501,C,2022
AIS Transactions on Human-Computer Interaction,Association for Information Systems,1944-3900,2009,4609,A,2022
Akron Tax Journal,University of Akron,"1044-4130	","1983	",4801,B,2022
Alberta Law Review,University of Alberta,"0002-4821	","1955	",4801,B,2022
Algorithmic Finance,IOS Press,"2158-5571	","2011	",3502,B,2022
ALI - ABA Business Law Course Materials Journal,American Law Institute,"1536-4445	","1976	",4801,C,2022
Aligarh Journal of Statistics,Aligarh Muslim University,"0971-0388	","1981	",4905,C,2022
Alternative Law Journal,Sage Publications,1037-969X,1975,4801,B,2022
"Alternatives: global, local, political",Sage Publications ,"0304-3754	","1974	",3507,A,2022
American Bankruptcy Institute Law Review,St. John's University School of Law,"1068-0861	","1993	",4801,B,2022
American Bankruptcy Law Journal,The National Conference of Bankruptcy Judges,"0027-9048	","1971	",4801,B,2022
American Behavioral Scientist,Sage Publications,"0002-7642	","1957	",3507,B,2022
American Business Law Journal,Wiley-Blackwell Publishing,"0002-7766	","1963	",4801,A,2022
American Business Review,University of New Haven,"0743-2348	","1983	",3507,A,2022
American Economic Journal: Applied Economics,American Economic Association ,"1945-7782	","2009	",3801,A*,2022
American Economic Journal: Economic Policy,American Economic Association ,"1945-7731	","2009	",3801,A*,2022
American Economic Journal: Macroeconomics,American Economic Association ,"1945-7707	","2009	",3801,A*,2022
American Economic Journal: Microeconomics,American Economic Association ,"1945-7669	","2009	",3801,A*,2022
American Economic Review: Insights,American Economic Association,2640-205X,2019,3801,A*,2022
American Economist,Sage Publications ,"0569-4345	","1960	",3801,C,2022
American Journal of Agricultural Economics,Oxford University Press ,"0002-9092	","1919	",3801,A*,2022
American Journal of Comparative Law,Oxford University Press,"0002-919X	","1951	",4801,A,2022
American Journal of Economics and Sociology,Wiley-Blackwell Publishing,"0002-9246	","1941	",3801,B,2022
American Journal of Evaluation,Sage Publications,"1098-2140	","1981	",3503,C,2022
American Journal of Finance and Accounting,Inderscience Publishers,"1752-7767	","2008	",3502,C,2022
American Journal of Health Economics,MIT Press,"2332-3493	","2015	",3801,A,2022
American Journal of Political Science,Wiley-Blackwell Publishing,"0092-5853	","1950	",3599,A*,2022
American Journal of Psychology,University of Illinois Press,"0002-9556	","1887	",3507,B,2022
American Journal of Public Health,The American Public Health Association,"0090-0036	","1911	",3599,A*,2022
American Journal of Recreation Therapy,Weston Medical Publishing,"1539-4131	","2002	",3504,C,2022
American Journal of Sociology,The University of Chicago Press,"0002-9602	","1895	",3507,A*,2022
American Law and Economics Review,Oxford University Press ,"1465-7252	","1999	",3801,B,2022
American Political Science Review,Cambridge University Press,"0003-0554	","1906	",3599,A*,2022
American Psychologist,American Psychological Association ,"0003-066X	","1946	",3507,A*,2022
American Review of Political Economy,American Review of Political Economy,"1551-1383	","2002	",3899,C,2022
American Review of Public Administration,Sage Publications,"0275-0740	","1967	",3599,B,2022
American Sociological Review,Sage Publications,"0003-1224	","1936	",3507,A*,2022
AMS Review,Springer International Publishing,"1869-814X	","1997	",3506,B,2022
Analisis: cuadernos de investigacion,Centre for Latin American Monetary Studies (CEMLA),"0252-8851	","1977	",3801,C,2022
Anatolia,Taylor & Francis Online,"1303-2917	","1990	",3508,B,2022
Annals Economy Series,Universitatea Constantin Brancusi din Targu-Jiu,"1844-7007	","2009	",3899,C,2022
Annals of Actuarial Science,Cambridge University Press,"1748-4995	","2006	",3502,A,2022
Annals of Applied Probability,Institute of Mathematical Statistics,"1050-5164	","1991	",4905,A,2022
Annals of Applied Statistics,Institute of Mathematical Statistics,"1932-6157	","2007	",4905,A,2022
Annals of Economics and Finance,Peking University Press,"1529-7373	","2000	",3502,C,2022
Annals of Finance,Springer International Publishing,"1614-2446	","2005	",3502,B,2022
Annals of Leisure Research,Routledge,"1174-5398	","1998	",3504,B,2022
Annals of Operations Research,Springer International Publishing,"0254-5330	","1984	",3507,A,2022
Annals of Probability,Institute of Mathematical Statistics,"0091-1798	","1973	",4905,A*,2022
Annals of Public and Cooperative Economics,Wiley-Blackwell Publishing,"1370-4788	","1925	",3801,B,2022
Annals of Statistics,Institute of Mathematical Statistics,"0090-5364	","1973	",4905,A*,2022
Annals of the American Academy of Political and Social Science,Sage Publications,"0002-7162	","1891	",3599,B,2022
Annals of the Institute of Statistical Mathematics,Springer International Publishing,"0020-3157	","1949	",4905,A,2022
Annals of Tourism Research,Elsevier ,"0160-7383	","1973	",3508,A*,2022
Annual Editions: Economics,Dushkin Publ. Group,"1092-776X	","1971	",3801,C,2022
Annual Review of Banking and Financial Law,Boston University School of Law,"1544-4627	","1982	",4801,C,2022
Annual Review of Economics,Annual Reviews ,"1941-1383	","2009	",3801,B,2022
Annual Review of Financial Economics,Annual Reviews ,"1941-1367	","2009	",3801,B,2022
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,"2327-0616	","2014	",3507,A*,2022
Annual Review of Psychology,Annual Reviews ,"0066-4308	","1950	",3507,A*,2022
Annual Review of Resource Economics,Annual Reviews ,"1941-1340	","2009	",3801,B,2022
Annual Review of Sociology,Annual Reviews ,"0360-0572	","1975	",3507,A*,2022
Anti Trust Law Journal,American Bar Association ,"0003-6056	","1952	",4801,A,2022
Antitrust Bulletin,Sage Publications,"0003-603X	","1955	",4801,B,2022
Appetite,Elsevier,"0195-6663	","1980	",3506,A,2022
Applied Cognitive Psychology,Wiley-Blackwell Publishing,"0888-4080	","1987	",3507,B,2022
Applied Econometrics,"Moscow University for Industry and Finance Synergy"" ""","1993-7601	","2006	",3802,C,2022
Applied Econometrics and International Development,Euro-American Association of Economic Development Studies,"1578-4487	","2001	",3802,C,2022
Applied Economic Analysis,Emerald Publishing Group,2632-7627,,3801,B,2022
Applied Economic Perspectives and Policy,Oxford University Press ,"2040-5804	","1979	",3801,B,2022
Applied Economics,Taylor & Francis Online,"0003-6846	","1969	",3801,A,2022
Applied Economics Letters,Taylor & Francis Online,"1350-4851	","1994	",3801,B,2022
Applied Economics Quarterly,Duncker & Humblot Gmbh,"1611-6607	","1952	",3801,B,2022
Applied Energy,Elsevier,0306-2619,1975,3599,A,2022
Applied Finance Letters,Auckland University of Technology,"2253-5799	","2012	",3502,B,2022
Applied Financial Economics,Taylor & Francis Online,"0960-3107	","1991	",3502,B,2022
Applied Health Economics and Health Policy,Springer International Publishing,"1175-5652	","2002	",3801,C,2022
Applied Mathematical Finance,Taylor & Francis Online,"1350-486X	","1994	",3502,B,2022
Applied Ontology,IOS Press,"1570-5838	","2005	",4609,A,2022
Applied Psychological Measurement,Sage Publications,"0146-6216	","1977	",3507,B,2022
Applied Psychology: An International Review,Wiley-Blackwell Publishing,"0269-994X	","1952	",3507,A,2022
Applied Soft Computing,Elsevier ,"1568-4946	","2001	",4609,C,2022
Applied Stochastic Models in Business and Industry,Wiley-Blackwell Publishing,"1524-1904	","1985	",4905,B,2022
Appraisal Journal,Appraisal Institute,"0003-7087	","1932	",3504,B,2022
Aquaculture Economics and Management,Taylor & Francis Online,"1365-7305	","1997	",3801,C,2022
Arizona Law Review,HeinOnline,"0004-153X	","1959	",4801,B,2022
Arkansas Business and Economic Review,"University of Arkansas, Bureau of Business and Eco","0004-1742	","1933	",3801,C,2022
Art Law and Accounting Reporter,Volunteer Lawyers and Accountants for the Arts,"0886-1013	","1982	",3501,C,2022
Artha-Vikas: a journal of economic development,Sardar Patel University,"0004-3567	","1965	",3801,C,2022
Arts and the Market (formerly Arts Marketing),Emerald Group Publishing,"2044-2084	","	",3506,C,2022
ASEAN Journal on Hospitality and Tourism,Institut Teknologi Bandung,"1412-2073	","2002	",3508,C,2022
Asia Europe Journal,Springer International Publishing,"1610-2932	","2003	",3599,B,2022
Asia Pacific Business Review,Taylor & Francis Online,"1360-2381	","1994	",3507,B,2022
Asia Pacific Sustainable Development Journal,United Nations ESCAP,"1020-1246	","1956	",3899,B,2022
Asia Pacific Journal of Arts and Cultural Management,The University of Melbourne,"1449-1184	","2003	",3504,C,2022
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,"1326-8481	","1997	",3801,B,2022
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,"0219-1466	","1998	",3502,B,2022
Asia Pacific Journal of Health Management,Australian College of Health Service Executives,"1833-3818	","2006	",3599,C,2022
Asia Pacific Journal of Information Systems,Korea Society of Management Information Systems,2288-5404,1990,4609,C,2022
Asia Pacific Journal of Management,Springer International Publishing,"0217-4561	","1983	",3507,A,2022
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,"1355-5855	","1988	",3506,A,2022
Asia Pacific Journal of Taxation,Hong Kong Polytechnic University,"1027-5592	","1997	",4801,C,2022
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,"1094-1665	","1996	",3508,A,2022
Asia Pacific Law Review,Taylor & Francis Online,"1019-2557	","1992	",4801,C,2022
Asia Pacific Public Relations Journal,University of Newcastle,"1440-4389	","1999	",3506,B,2022
Asia-Pacific Financial Markets,Springer International Publishing,"1387-2834	","1994	",3502,C,2022
Asia-Pacific Journal of Accounting and Economics,Taylor & Francis Online,"1608-1625	","2000	",3501,B,2022
Asia-Pacific Journal of Business Administration,Emerald Group Publishing,"1757-4323	","2009	",3507,C,2022
Asia-Pacific Journal of Financial Studies,Wiley-Blackwell Publishing,2041-9945,1980,3502,B,2022
Asia-Pacific Journal of Human Resources,Wiley-Blackwell Publishing,"1038-4111	","1966	",3505,B,2022
Asia-Pacific Journal of Risk and Insurance,De Gruyter,2194-606X,"2005	",3502,B,2022
Asia-Pacific Management Accounting Journal,Universiti Teknologi MARA (UiTM) Press,"1675-3194	","2006	",3501,C,2022
Asia-Pacific Management Review,Elsevier,"1029-3132	","1996	",3507,C,2022
Asia-Pacific Tax Bulletin,International Bureau of Fiscal Documentation,"1385-3082	","1983	",4801,C,2022
Asian Academy of Management Journal,Penerbit Universiti Sains Malaysia,"1394-2603	","1996	",3507,C,2022
Asian Academy of Management Journal of Accounting and Finance,Asian Academy of Management / Penerbit Universiti Sains Malaysia,"1823-4992	","2005	",3501,C,2022
Asian and Pacific Economic Review,ya tai jing ji bian ji bu  ,"1000-6052	","1985	",3801,C,2022
Asian and Pacific Migration Journal,Scalabrini Migration Center,"0117-1968	","1992	",3599,C,2022
Asian Business and Management,Springer International Publishing,"1472-4782	","2002	",3507,C,2022
Asian Development Review,MIT Press,"0116-1105	","1983	",3801,C,2022
Asian Economic Journal,Wiley-Blackwell Publishing,"1351-3958	","1987	",3801,B,2022
Asian Economic Papers,MIT Press,"1535-3516	","2002	",3801,B,2022
Asian Economic Policy Review,Wiley-Blackwell Publishing,"1832-8105	","2006	",3801,C,2022
Asian Economies,Ajia Keizai Kenkyujo,"0002-2942	","1960	",3801,C,2022
Asian Journal of Accounting and Governance,Universiti Kebangsaan Malaysia (UKM) Press,"2180-3838	","2010	",3501,C,2022
Asian Journal of Accounting Research,Emerald Group Publishing,2459-9700,2016,3501,C,2022
Asian Journal of Agriculture and Development,Southeast Asian Regional Center for Graduate Study and Research in Agriculture,"1656-4383	","2004	",3899,C,2022
Asian Journal of Business and Accounting,University of Malaysia ,"1985-4064 	","2008	",3501,C,2022
Asian Journal of Business Ethics,Springer International Publishing,2210-6723,2012,3507,C,2022
Asian Journal of Business Research,Asia Business Research Corporation Limited,"2463-4522	","2011	",3506,C,2022
Asian Journal of International Law,Cambridge University Press,"2044-2513	","1997	",4801,C,2022
Asian Journal of Management Cases,Sage Publications,0972-8201,2004,3501,C,2022
Asian Journal of Marketing (SING),"Marketing Institute of Singapore and Faculty of Business Administration, National University of Singapore","0218-6101	","1992	",3506,C,2022
Asian Journal of Political Science,Taylor & Francis Online,"0218-5377	","1993	",3599,B,2022
Asian Journal of Social Science,Elsevier,"1568-4849	","1973	",3599,C,2022
Asian Journal of Tourism and Hospitality Research,Phillippine e-Journals,"1908-8388	","2007	",3508,C,2022
Asian Population Studies,Taylor & Francis Online,"1744-1730	","2005	",3599,B,2022
Asian Review of Accounting,Emerald Group Publishing,"1321-7348	","1992	",3501,B,2022
Asian Survey,University of California Press,"0004-4687	","2011	",3599,C,2022
Asian-Pacific Economic Literature,Wiley-Blackwell Publishing,"0818-9935	","1987	",3801,C,2022
Aslib Proceedings: New information perspectives,Emerald Group Publishing,2050-3806,1949,4609,B,2022
ASOR Bulletin,Australian Society for Operations Reseach Inc. ,"0812-860X	","1981	",3509,C,2022
Asper Review of International Business and Trade Law,"University of Manitoba, Faculty of Law","1496-9572	","2001	",4801,C,2022
AStA Advances in Statistical Analysis,Springer Nature,"1863-8171	","1916	",4905,C,2022
ASTIN Bulletin,Cambridge University Press,"0515-0361	","1960	",3502,A,2022
ATA Journal of Legal Tax Research,American Accounting Association,"1543-866X	","2003	",4801,C,2022
Atlantic Economic Journal,Springer International Publishing,"0197-4254	","1973	",3801,C,2022
Auckland University Law Review,Auckland University Law Students' Society,"0067-0510	","1967	",4801,C,2022
Audit Financiar,Chamber of Financial Auditors in Romania,1583-5812,2003,3501,C,2022
Auditing: A Journal of Practice and Theory,American Accounting Association,"0278-0380	","1981	",3501,A*,2022
Australasian Accounting Business and Finance Journal,University of Canberra,"1834-2000	","2007	",3501,B,2022
Australasian Agribusiness Review,The University of Melbourne,"1442-6951	","1993	",3599,C,2022
Australasian Dispute Resolution Journal,Thomson Reuters,"1441-7847	","1990	",4801,C,2022
Australasian Journal of Business and Behavioural Sciences,Australasian Business and Behavioural Sciences Association,"1832-0422	","2005	",3501,C,2022
Australasian Journal of Economics Education,University of Queensland,"1448-448X	","2004	",3801,C,2022
Australasian Journal of Environmental Management,Taylor & Francis Online,"1448-6563	","2003	",3507,A,2022
Australasian Journal of Information Systems,Australasian Association for Information Systems (AAIS),"1449-8618	","1983	",4609,A,2022
Australasian Journal of Natural Resources Law and Policy,University of Wollongong,"1320-5323	","1993	",4801,B,2022
Australasian Journal of Regional Studies,Australian and New Zealand Regional Science Association,"1324-0935	","1995	",3599,B,2022
Australasian Journal on Ageing,Wiley-Blackwell Publishing,"1440-6381	","1982	",3599,B,2022
Australasian Marketing Journal,Elsevier ,"1441-3582	","1993	",3506,A,2022
Australasian Parks and Leisure,Universal Magazines,"1446-5604	","	",3504,C,2022
Australian Accounting Review,Wiley-Blackwell Publishing,"1035-6908	","1991	",3501,B,2022
Australian and New Zealand Journal of Criminology,Sage Publications,"0004-8658	","1968	",4801,A,2022
Australian and New Zealand Journal of Statistics,Wiley-Blackwell Publishing,"1369-1473	","1959	",4905,A,2022
Australian Bar Review,LexisNexis,"0814-8589	","1986	",4801,A,2022
Australian Bulletin of Labour,"National Institute of Labour Studies, Flinders University ","0311-6336	","1974	",3505,B,2022
Australian Business Law Review,Thomson Reuters,"0310-1053	","1973	",4801,A,2022
Australian Commodities,Australian Bureau of Agricultural and Resource Economics,"1321-7844	","1948	",3801,C,2022
Australian Economic History Review,Wiley-Blackwell Publishing,"0004-8992	","1956	",3801,B,2022
Australian Economic Papers,Wiley-Blackwell Publishing,"0004-900X	","1962	",3801,B,2022
Australian GST Journal,Thomson Reuters,"1445-4068	","1998	",4801,C,2022
Australian Intellectual Property Journal,Thomson Reuters,"1038-1635	","1990	",4801,C,2022
Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),Institute of Actuaries of Australia,"2203-2290	","1997	",3502,C,2022
Australian Journal of Asian Law,Federation Press,"1443-0738	","2000	",4801,C,2022
Australian Journal of Business and Management Research,New South Wales Research Centre Australia,,2011,3501,C,2022
Australian Journal of Career Development,Sage Publications ,"1038-4162	","1992	",3505,B,2022
Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),Thomson Reuters,"1838-9260	","1993	",4801,B,2022
Australian Journal of Corporate Law,LexisNexis,"1037-4124	","1991	",4801,A,2022
Australian Journal of Environmental Education,Cambridge University Press,"0814-0626	","1984	",3507,B,2022
Australian Journal of Human Rights,University of New South Wales ,"1323-238X	","1994	",3599,C,2022
Australian Journal of International Affairs,Taylor & Francis Online,"1035-7718	","1947	",3599,A,2022
Australian Journal of Labour Economics: a journal of labour economics and labour relations,Centre for Labour Market Research,"1328-1143	","1989	",3801,B,2022
Australian Journal of Labour Law,LexisNexis,"1030-7222	","1988	",4801,A,2022
Australian Journal of Management,Sage Publications,"0312-8962	","1976	",3502,A,2022
Australian Journal of Political Science,Taylor & Francis Online,"1036-1146	","1956	",3599,A,2022
Australian Journal of Psychology,Wiley-Blackwell Publishing,"0004-9530	","1949	",3507,B,2022
Australian Journal of Public Administration,Wiley-Blackwell Publishing,"0313-6647	","1937	",3599,A,2022
Australian Journal of Social Issues,Wiley-Blackwell Publishing,"0157-6321	","1961	",3507,B,2022
Australian Law Journal,Thomson Reuters,"0004-9611	","1927	",4801,A,2022
Australian Property Law Journal,University of Western Australia,"1038-5959	","1993	",4801,B,2022
Australian Psychologist,Wiley-Blackwell Publishing,"0005-0067	","1966	",3507,B,2022
Australian Review of Public Affairs,The University of Sydney ,"1832-1526	","2000	",3599,C,2022
Australian Tax Forum,Tax Institute,"0812-695X	","1984	",4801,A*,2022
Australian Tax Law Bulletin,LexisNexis,"2203-9481	","2014	",4801,C,2022
Australian Tax Review,Thomson Reuters,"0311-094X	","1971	",4801,A,2022
Austrian Economic Quarterly,Austrian Institute of Economic Research,"1025-6954	","1996	",3899,C,2022
Automation in Construction,Elsevier ,"0926-5805	","1992	",3504,A*,2022
Baltic Journal of Economics,Taylor & Francis Online,"1406-099X	","2000	",3801,C,2022
Baltic Journal of Management,Emerald Group Publishing,"1746-5265	","2006	",3507,C,2022
Bank Parikrama: A Journal of Banking and Finance,Bangladesh Institute of Bank Management,"1019-7044	","	",3502,C,2022
Banking and Finance Law Review,HAB Press Limited,"0832-8722	","1986	",4801,B,2022
Banking Law Journal,LexisNexis,"0005-5506	","1989	",4801,C,2022
Banks and Bank Systems,Business Perspectives Ltd,"1816-7403	","2006	",3502,C,2022
Basic and Applied Social Psychology,Taylor & Francis Online,0197-3533,1980,3507,B,2022
Basic Income Studies,De Gruyter,2194-6094,"2006	",3801,C,2022
Bayesian Analysis,International Society for Bayesian Analysis,"1936-0975	",2006,4905,A,2022
Behavioral Research in Accounting,American Accounting Association,"1050-4753	","1989	",3501,A,2022
Behaviour and Information Technology,Taylor & Francis Online,"0144-929X	","1982	",4609,A,2022
Benchmarking: an international journal,Emerald Group Publishing,"1463-5771	","1994	",3507,B,2022
Berkeley Business Law Journal,University of California Berkeley School of Law,"1548-7067	","2004	",4801,B,2022
Berkeley Technology Law Journal,University of California Berkeley School of Law,"1086-3818	","1986	",4801,A,2022
Bernoulli,Bernoulli Society for Mathematical Statistics and Probability,"1350-7265	","1995	",4905,A,2022
BFuP - Betriebswirtschaftliche Forschung und Praxis,NWB Verlag GmbH & Co. KG,"0340-5370	","1949	",3801,C,2022
Bio-based and Applied Economics Journal,Firenze University Press,"2280-6180	","2012	",3899,C,2022
Bioinformatics,Oxford University Press ,"1367-4803	","1998	",4905,A,2022
Biometrical Journal,Wiley-Blackwell Publishing,"0323-3847	","1977	",4905,B,2022
Biometrika,Oxford University Press ,"0006-3444	","1901	",4905,A*,2022
Biostatistics,Oxford University Press ,"1465-4644	","2000	",4905,A,2022
BMC Medical Informatics and Decision Making,BioMed Central Ltd,"1472-6947	","2001	",4609,B,2022
Bond Law Review,Bond Faculty of Law Review Editorial Committee,"1033-4505	","1989	",4801,B,2022
Boston University Law Review,Boston University School of Law,"0006-8047	","1921	",4801,A*,2022
Brazilian Electronic Journal of Economics,"Universidade Federal de Pernambuco, Department of Economics ","1516-4373	","1997	",3801,C,2022
Brazilian Journal of Business Economics,Universidade Catolica de Brasilia,"1676-8000	","2001	",3801,C,2022
Brazilian Journal of Rural Economy and Sociology,"Brazilian Society of Rural Economics, Management and Sociology","0103-2003	","1963	",3899,C,2022
Briefing Notes in Economics,Parvis Dabir-Alai,"0968-7017	","1992	",3803,C,2022
