author
L Hashemi
Chunhua Zhang
Yangyang Li
Baopeng Zhao
Junhao Liu
Qing Cheng
Yuanji Wang
Changqi Yang
Rui Zhou
Xinping Zhu
Di Yao
Junjie Zhou
Yaqian Du
Shanshan Yang
Lijin Liu
Michael Salib
Valeriy Heyets
Theuns KotzÃ©
Pierre Mostert
Kum-Choi Om
Guoyu Ren
Sang-Il Jong
Kang-Choi O
Hak-Choi Ryu
Marina O Latukha
Tat'iana V Tsukanova
Paul E Madlock
Abdollah Hadi-Vencheh
Majid Tavassoli-Kajani
Pataporn Sukontamarn
Li Feng
Mustafa C Karakus
David S Salkever
Eric P Slade
Nicholas Ialongo
Elizabeth Stuart
Indra Abeysekera
Patricia McLaughlin
Anthony Mills
Paola Giuliano
Antonio Spilimbergo
Lina Elmoiz Alatabani
Elmustafa Sayed Ali
Rania A Mokhtar
Rashid A Saeed
Hesham Alhumyani
Mohammad Kamrul Hasan
Amy Hing-Ling Lau
Hon-Shiang Lau
Christophe Schinckus
Jun Zhang
Qingjun Guo
Chenjun Du
Rongfei Wei
Jiaxiang Zhu
Yangfei Gao
Yangyan Shi
Sanjoy Kumar Paul
Biying Zhao
Licheng Sun
Xiaoxiao Cao
Siying Gao
Muhammad Sadiq
Muhammad Mohsin
Farhad Taghizadeh-Hesary
Fei Gao
Tina M Lowrey
L J Shrum
Mark J Landau
Dawn Choo
Sathana Dushyanthen
Kathleen Gray
Daniel Capurro
Mark Merolli
Brian E Chapman
Douglas Pires
Graeme K Hart
Kit Huckvale
Wendy W Chapman
Kayley Lyons
Crampton Noah
Greiver Michelle
Woods Nicole
Singer Alex
Domb Sharon
Orava Matthew
Shachak Aviv
Othman O Khalifa
Muhammad H Wajdi
Aisha H. A Hashim
Muhammed Z Ahmed
Yi Zheng Dai
Chen Yang Zhang
Bo Wang
Yu Li
Muhammad Talha
Le Kang
Yeping Chu
Kaijun Leng
Inneke Van Nieuwenhuyse
Ying Yang
J Uthayakumar
Noura Metawa
K Shankar
S K Lakshmanaprabu
Chao Yin
Mingyu Zhang
Yihua Zhang
Wenbing Wu
Jing Ming Zhang
Shu Zhen Zhu
Wei Yan
Zhi Peng Li
Liming Zhang
Kuankuan Luo
Jinglin Zhao
Hong Zhao
Yulin Deng
Qianying Gao
Shaofei Wu
Zheng Ye
Jianzhuang Zheng
Ruiyi Tu
Yuan Zheng
Shaui Li
Hao Yu
Maozhu Jin
Hua Wang
Qian Zhang
Yucheng Zeng
Ying Luan
Zhuo Zhang
Wei Li
Qiling Zhou
Junying Ren
Samantha Spector
Lan Yu
Shuyang Xiao
Jian Liu
Chunlin Liu
Lanping Zhang
Yi Xu
Yuan Chen
Kejing Lu
Yu Jie Lyu
Xianjun Li
Yuan Zhang
Li Bai
Xiaosu Liu
Yanliang Yu
Qi Yue
Xing Hua
Mei Quan
Hai Li Zhang
Xiao Tao Guo
Weihua Duan
Guochao Zhang
Zhichuan Zhu
Junyan Zhang
Jianfei Shen
Lincong Han
Huiqun Yuan
Hongbin Qiu
Ya Bi
Sheng Hung Chang
Anthony Lam
Yu Yuan
Linfang Hou
Bing Li
Xiaocong Ren
Jun He
Zilong Huang
Yang Zhao
P Mohamed Shakeel
Carlos Enrique Montenegro-Marin
Xiaomeng Ma
Huahua Li
He Pang
Wukang Zhang
Fengfan Zhang
Li Weiping
Wang Weihan
Lichun Zhou
Nick Williams
Colin C Williams
Zhi-Jiang Liu
Ahmad Ghandour
Anastasia Kurilova
Wang Dou
Mingzhu Qian
Xiaobao Wang
Ling Yang
Shouxu Jiang
Fusheng Zhang
Ming Zhao
Li Ma
Lusine Grigoryan
San Seo
Dora Simunovic
Wilhelm Hofmann
Jianzhong Li
Alhanouf Alburaikan
Rita de Fatima Minuz
Anissa Dakhli
Muhammad Farooq
Amna Noor
Shahzadah Fahad Qureshi
Arun Kumar Kaushik
Zillur Rahman
Jie Shen
Jenny Dumont
Xin Deng
Neeraj Gupta
Saurabh Gupta
Mahdi Khosravy
Nilanjan Dey
Nisheeth Joshi
RubÃ©n GonzÃ¡lez Crespo
Nilesh Patel
Qian Cao
Md Nazirul Islam Sarker
Jiangyan Sun
Min Wu
GM Monirul Alam
Roger C Shouse
G M Monirul Alam
Mobin Fatma
Imran Khan
Andrea Perez
L Iorio
Nie Songqing
Liang Weiqu
Mo Weiqin
Miao Bingbing
Daiying Wu
Peng Miao
Oscar SanjuÃ¡n MartÃ­nez
Maryna O Dei
Iryna S Skliar
Anatolii Ie Shevchenko
Andriy Cherneha
Oleksii V Tavolzhanskyi
Adegoke Oke
Moronke Idiagbon-Oke
Frederick O Walumbwa
Kangning Zheng
Zuopeng Zhang
Bin Song
Hunhui Oh
Joon-Hee Oh
Melanie Schwarz
Sri Indah Pujiastuti
Manfred Holodynski
T O Ojo
A A Ogundeji
J A Belle
S Roy
A K Das
R Banerjee
Rahim A Abbaspour
Farhad Samadzadegan
Hee Chan Song
Qiping Xu
Eric Zwick
Vinit M Desai
P K Bose
Ali Sabyrzhan
Gulnara Balgimbekova
Viktor Shestak
Arash Karimipour
Mahmoud Edalati
Mehraj U Din Dar
Aamir Ishaq Shah
Shakeel Ahmad Bhat
Rohitashw Kumar
Donald Huisingh
Rajbir Kaur
Jeffrey Gauthier
Jayati Sinha
Rajesh Bagchi
Jing Wang
Sojin Jung
Byoungho Ellie Jin
Mitch Brown
Donald F Sacco
Kelsey M Drea
Jian Jin Tian
Da Jun Zhang
Philip Rodkin
Abdelkader Derbali
Lamia Jamel
Shan Wu
Zhe Zhang
Ming Jia
Mostafa Jalal
Hamid Jalal
Martin Bordewieck
Malte Elson
Olivia Kyriakidou
Unal A Kahraman
Fan Yang
Hao Xie
Huxiong Li
Yinkun Li
Anzhi Wang
Shenrong Wei
Li Junsheng
Liyuan Zhao
Ao Wang
Ye Zhao
Linheng Song
Yicai Shen
Le Niu
Zhiyuan Lv
Le Shen
Xianfang Zhang
Qiaoping Zhou
Ki Hyung Bae
Xin Dai
Tainshan Ma
Chunqiong Wu
Bingwen Yan
Rongrui Yu
Baoqin Yu
Xiukao Zhou
Na Chen
Liping Lou
Zhao Yang
Ke Su
Chae Kwan Lim
Wenjun Jiang
Ning Zhang
Rui Zhao
Jianfang Yue
Linlin Niu
Sage Owens
Kal Avers-Lynde III
Xiaodan Peng
Rui Yang
Shanghui Song
Liangcai Yao
Chong Lan
Pramod Sharma
Jogendra Kumar Nayak
Joggendra Kumar Nayak
Joe T Y Wong
Eddie C M Hui
Marc Leverette
LevÃ­ GarcÃ­a-Romero
Carolina PeÃ±a-Alonso
Patrick A Hesp
Antonio I HernÃ¡ndez-Cordero
Luis HernÃ¡ndez-Calvento
Pronobesh Banerjee
Promothesh Chatterjee
Chi Shing Tse
Jeanette Altarriba
Muhammad Ijaz
Wali Khan Mashwani
Atilla Goktas
Yuksel Akay Unvan
Benny Hutahayan
Stefanus Yufra
Agus Hermanto
Solimun Solimun
Adji Achmad Rinaldo Fernandes
Wahyono Wahyono
Zulkarnain Zulkarnain
Adel Ifa
Imene Guetat
Vighneswara Swamy
Vit MachÃ¡Äek
Martin Srholec
Babak Taheri
Thomas Farrington
Ross Curran
Kevin OâGorman
Franccesco Finazzi
Lucia Paci
Bogdan Dragos Ilies
Shamjad P Moosakutty
Najeh M Kharbatia
S Mani Sarathy
Hung Che Wu
Chi Han Ai
Ya Yuan Chang
James Heyman
Dan Ariely
Ibrar Yaqoob
Victor Chang
Abdullah Gani
Salimah Mokhtar
Ibrahim Abaker Targio Hashem
Ejaz Ahmed
Nor Badrul Anuar
Samee U Khan
Misbah Liaqat
Siti Hafizah ab Hamid
Rana Liaqat Ali
Rana M Haseeb
Tahir Maqsood
Adriano A Rampini
S Viswanathan
Guillaume Vuillemey
Sahar A Al Shabasy
Maggie M Abbassi
Aureliano Paolo Finch
Arthur Jing Lin
Chien-Lung Hsu
Chun-Hao Chiang
David M Gilgor
Millorad Novicevic
Javad Feizabadi
Andrew Stapleton
Weimin Jin
Mashrur Chowdhury
M Sabbir Salek
Sakib Mahmud Khan
Patrick Gerard
Matthew Wood
Paurav Shukla
Kareem Haggag
Devin G Pope
Kinsey B Bryant-Lees
Maarten W Bos
J F GÃ³mez-Aguilar
Abdon Atangana
Jun Ma
Jumei Shen
Bilal Afsar
Basheer M Al-Ghazali
Zia Ur Rehman
Waheed Ali Umrani
Sadia Cheema
Basheer M AlâGhazali
Ahsen Maqsoom
Sajjad A Afridi
Asad Shahjehan
Zia U Rehman
Maqsood Haider
Mehboob Ullah
Seda Ä°Äret Araz
Rihab Bedoui
Sana Braiek
Khaled Guesmi
Julien Chevalier
Shenglong Li
Pandia Rajan Jeyaraj
Edward Rajan Samuel Nadar
Gautam Kumar Sarma
Susmita Sen Gupta
Krishna G Bhattacharyya
Nicole Verrochi Coleman
Patti Williams
Jiahai Yuan
Yan Xu
Zhaoguang Hu
Ping Dong
Chen Bo Zhong
Thomas Bailey
Fadi Thabtah
Marcus Wright
Duy Anh Tran
Sean T H Lee
Norman P Li
Andrea L Meltzer
Nadhilla V Melia
Hui Si Oh
Pan Wu
Wen Tao Mo
Zhaobo Chen
Yanling Wang
Yubo Cui
Ying Zhang
Yantao Song
Liming Jin
Yanxi Hou
Feifei Zhu
Bo Cao
Ning Li
JÃ¶rg Kemmerzell
Veith Selk
Andrea C Morales
Andrew Edward White
P F Khaleelur Rahiman
V S Jayanthi
A N Jayanthi
Xun (Irene) Huang
Pong Dong
Meng Zhang
Cory J Clark
Bo M Winegard
Jordan Beardslee
Roy F Baumeister
Azim F Shariff
Wessel M Badenhorst
Leon M BrÃ¼mmer
Johannes H vH de Wet
J Philippe Rushton
Donald I Templer
Ludovica Cesareo
Chih Hsiung Tseng
Sheng Tzong Cheng
Yi Hsien Wang
Bashar H Malkawi
K P Sooraj
Kyong Hwan Seo
June Yi Lee
Ercan Senyigit
Euclid A Rose
Alon Yakter
Belen Lowrey-Kinberg
Ali Toghroli
Meldi Suhatril
Zainah Ibrahim
Maryam Safa
Mahdi Shariati
Shahaboddin Shamshirband
Holger Benavides Munoz
Seyyed Ali Noorhosseini
Esmaeil Fallahi
Christos A Damalas
Mohammad Sadegh Allahyari
Mohammad Sameti
Fariborz Haghighat
Srdjan Jovic
Nebojsa Arsic
Ljubomir M Maric
Dalibor Petkovic
Wentao Wang
Guangxue Yue
Chunxia Ou
Lei Yang
Hu Lin
Liaomo Zheng
Ronald Grossarth-Maticek
Hans J Eysenck
A Pfeifer
Peter Schmidt
G Koppel
Hermann Vetter
Chu Mei Liu
M Soueif
A Furnham
Richard Lynn
J W C Chan
C D Frith
J Chan
K O Gotz
S Iwawaki
R Lynn
A R Borisy
J F Allsopp
R N Bone
Sybil B G Eysenck
Glenn D Wilson
Olive A Tunstall
Saburo Iwawaki
T Russell
R A Willett
C G Costello
H Holland
Yunong Li
Teng Zhang
Gerhard Uhlenbruck
Hermann Rieder
Lyobasa Rakic
Zhongshan Chen
Dongli Wei
Qian Li
Xiangxue Wang
Shujun Yu
Lu Liu
Bei Liu
Shengyu Xie
Jian Wang
Diyun Chen
Tasawar Hayat
Xiangke Wang
Yaxuan Ran
Sam J Maglio
Scott Baum
Anthea Bill
William F Mitchell
Matthew T Pratola
Ofir Harari
Derek Bingham
Gwenn E Flowers
Anuja Agarwal
Deepali Singh
Nanqi Yuan
Wenli Yang
Byeong Kang
Shuxiang Xu
Chengjing Li
Che Wei Su
Zheng Zheng Li
Ran Tao
Deng Kui Si
Eric A Stewart
Ramiro Martinez Jr
Eric P Baumer
Marc Gertz
Brian D Johnson
Patricia Y Warren
Jordyn L Rosario
Cresean Hughes
Xun Huang
Anirban Mukhopadhyay
Goran Maksimovic
David Jovovic
Marina Jovovic
Bashir Ahmad
Akhtar Alam
M Sultan Bhat
Kurshid A Bhat
I Mansouri
M Shariati
Z Ibrahim
M M Tahir
Dusan Markovic
Andrew Bird
Stephen A Karolyi
Muhammad Arif
Manzoor Illahi
Ahmad Karim
Khubaib Amjad Alam
Shahid Farid
Salman Iqbal
Zolkepli Buang
Valentina Emilia Balas
Davood Kiakojuri
Johari Abdullah
Ramupillai Sudhesh
A Azhagappan
Majid Farzaneh
Alireza Seidavi
Elham Sadeghi
Neng Fan
Marsial Losada
Emily Heaphy
Barbara L Fredrickson
Marcial F Losada
Oluwatoyin O Oluwaniyi
Igor Mladenovic
Milos Milovancevic
Vlastimir Nikolic
Saibal Ghosh
Zahra Daghighi Masouleh
Mehrdad Ghorbani
Daryoush Ashoori
Asghar Bagheri
Ganapathiraju Pramod
Tony J Pitcher
Gopikrishna Mantha
Thomas Dolk
Claudia Freigang
Johanna Bogon
Gesine Dreisbach
Jonathan J Shuster
Mark Handler
Mengjia Zeng
Zhaolin Cheng
Xu Huang
Bo Zheng
Mehdi Poursheikhali Asgary
Samad Jahandideh
Parviz Abdolmaleki
Anoshirvan Kazemnejad
Mekki Hamdaoui
Yamil Ricardo Velez
Benjamin J Newman
Anthony M Bertelli
Kathleen M Doherty
Marius Nicolae
Sudipta Pathak
Sanguthevar Rajasekaran
Zheng Ge Huang
Li Gong Wang
Zhong Xu
Jing JIng Cui
Meng Li
Yan Sun
Hui Chen
Antonio Cabrera de Leon
Itahisa Marcelino Rodriguez
Fadoua Gannar
Arturo J Pedrero Garcia
Delia Almeida Gonzalez
M del Cristo Rodriguez Perez
Buenaventura Brito Diaz
Jose Juan Aleman Sanchez
Armando Aguirre-Jaime
Milan Gocic
Shervin Motamedi
Roslan Hashim
Shahab Kariminia
Chandrabhushan Roy
Marziye Yousefi
Benyamin Khishnevisan
Mohd Hairul Nizam Md Nasir
Rodina Ahmad
Sareh Naji
Miss Laiha Mat Kiah
Amitava Chatterjee
Wenbin Hu
Huan Wang
Chao Peng
Huangle Liang
Bo Du
Yi Wang
Amy L Kristoff-Brown
Jee Young Seong
David S Degeest
Won Woo Park
Doo Seung Hong
Kyongseok Kim
Sun Joo (Grace) Ahn
Svetlana Sokolov-Mladenovic
Petra Karanikic
Meysam Alizamir
Jong II Baek
Sung Tae Park
Mohsen Sheikholeslami
Mofid Gorji Bandpy
Hamid Reza Ashorynejad
Fujian Song
Tim Elwell-Sutton
Felix Naughton
Yen Yi Ho
Tien Nhu Vo
Haitao Chu
Mark G LeSage
Xianghua Luo
Chap Te Le
Richard Baldwin
Peter Boghossian
Helen Pluckrose
James Lindsay
Selma Ezzeddine
M Sami Hammami
Mohammad Shojafar
A A Rahmani Hosseinabadi
Maryam Kardgar
M H N Md Nasir
Sachin Singh
Charles D McAllister
Dan Rinks
Xiaoyue Jiang
Dana Ruggiero
Laura Green
Johannes Hendrik van Rooyen
Daniel Lee Jones
Brian Wansink
Ganael Bascoul
Gary T Chen
Koertvan Ittersum
Carolina Werle
Abdul Haseeb Chaudhary
Tao Lu
Abdelkader T Ahmed
Tingsheng Zhao
Wen Liu
Limao Zhang
Wei Zhou
Alexander Tilley
Juliana Lopez-Angarita
Qing Cao
Mark A Thompson
Yang Yu
Benjamin R Auer
Frank Schuhmacher
Reza Tavakkoli-Moghaddam
F Taheri
M Bazzazi
S Salahi
Bennett Widyolar
Lun Jiang
Jonathan Ferry
Roland Winston
Surabhi Koul
Piyush Kumar Sinha
Hari Govind Mishra
Qunyong Xia
Bruce Headey
Ruud Muffels
Gert G Wagner
Yichuan Zhao
Min Lu
Sami M Alhomod
Mohd Mudasir Shafi
Christin L Munsch
Hsing Chau Tseng
Chi Hsiang Duan
Hui Lien Tung
Hsuang Jui Kung
Prateek Goorha
Jason Potts
Stephane Durand
Marian Slodicka
Sepehr Sanaye
Masoud Dehghandokht
Amir Fartaj
Suzanne J Peterson
Bruce J Avolio
Sean T Hannah
Cookhwan Kim
Sungsik Park
Kwiseok Kwon
Woojin Chang
John Carty
Aoife Ahern
Archana Sarangi
Rabi Kumar Mahapatra
Siba Prasada Panigrahi
Mohammadreza Anbari Attar
Hongming Xu
Ying Tang
Mei Meng
Yong Lu
Yongseok Chang
Ker Tah Hsu
Ling-Zhong Lin
Tsuen-Ho Hsu
Liang-Chih Huang
Ronggen Yang
Mingwu Ren
Yajuan Li
Marco A Palma
Hsin-Nan Tsai
Shey-Huei Sheu
Zhe George Zhang
Helmut Wagner
Joelle Noailly
Richard Nahuis
Xiaohong Wei
Zizhen Li
Alberto Chong
Jorge Guillen
Florencio Lopez-de-Slianes
Mohsen Mehrara
Jun Cheng
Jin E Zhang
Muhamed Zulkhibri Abdul Majid
Georgiana Nicoleta Rosoi
Ryszard Barczyk
Georgios Gerasimou
Nicholas J Meinzer
Katrin Ullrich
Min Li
Weiyin Fei
Hongjian Liu
Katusi Fukuyama
Dinesh Neupane
Simos G Meintanis
Alberto Lanconelli
Robert D Cooter
Angara V Raja
Hans-Bernd Schafer
Mark M Meerschaert
Chen Pingyan
Gan Shixin
Yo Sheena
Hillel Furstenberg
Abram Kagan
G B Nath
E G Enns
Piotr Zientara
Lech Kujawski
David S DeGeest
Elizabeth H Follmer
Stephen E Lanivich
Sheryl L Walter
Ernest H O'Boyle
Marco Chi-Keung Lau
Christopher A Thortenson
Adam D Pazda
Andrew J Elliot
Brigitte Heylen
Miaoying Shi
Runsheng Yin
Hongdi Lv
Shannon L Charles
Don R Hansen
Meysam Fakharyan
Sadaf Omidvar
Mohammad Reza Khodadadian
Mohammad Reza Jalilvand
Leila Nasrolahi Vosta
Sh-Tyan Lo
Hui-Ming Wee
Wen-Chang Huang
Mina Baliamoune-Lutz
Tony Addison
Christian Kanzow
Nobuo Yamashita
Masao Fukushima
Frank Bruinsma
Karima Kourtit
Peter Nijkamp
Jens Forster
Markus Denzler
Jia Liu
Dirk Smeesters
Kathleen D Vohs
Jia Elke Liu
Monique M Hennick
Solveig A Cunningham
Louis W Fry
Michael Noel
Emmanuel Sampene
Folefac D Atem
Janus S Liang
Chia-Chi Wang
Ying-Yao Cheng
Wen-Bin Chiou
Chun-Chia Kung
Dong-Hee Shin
Yongsuk Hwang
Wilfredo Palma
Guillerno Ferreira
Eugene Z Geh
Michael L Coleman
Jeffrey D Niemann
Torben G Andersen
Oleg Bondarenko
Kristine Deray
Simeon Simoff
Sasha Karl Grebe
Chamil Rathnayake
Chi-Wei Su
Hsu-Ling Chang
Jorge Pena
Seung-Chul Yoo
JIa (Elke) Liu
Debra Trampe
Lawrence J Sanna
Lindsay A Kennedy
Edward C Chang
Paul M Miceli
Kristjen B Lundberg
Ayman Abdalmajeed Ahmad Al-smadi
Mahmoud Khalid Almsafir
Nur Hanis Hazwani Binti Husni
Yue He
Lingxi Song
Randall Westgren
Edward L Vine
Jayant A Sathaye
Willy R Makundi
Hans W Gottinger
Maria Francesch-Huidobro
Junice Dzonzi-Undi
Shixiang Li
Hamed Asadi
Cecile Yvonne Wright
Natalie Darko
P J Standen
Tina G Patel
Benson Wier
Dan N Stone
James E Hunton
Robert Libby
Hun-Tong Tan
Thomas W Hall
Bethane Jo Pierce
Ruth Ann McEwan
Benson Weir
Presha E Neidermeyer
Arnold M Wright
Sally Wright
J Efrim Boritz
Marilyn M Greenstein
Carolyn Strand Norton
Antionette L Smith
Ryan J Baxter
Scott R Boss
Rani Hoitash
Jay C Thibodeau
Anna Gold
Marret K Noordewier
Diederik A Stapel
Willem Koomen
Marcus Maringer
Janneke F Joly
Norbert Schwartz
Joris Lammers
Femke van Horen
Kirsten I Ruys
Camille S Johnson
David M Marx
Michael Hafner
Dominique R Bourdin
Thomas N Nipen
Asma Mohsin
Khalid Zaman
Ulrich Lichtenthaler
ulrich Lichtenthaler
Holger Ernst
David M Mayer
Peng Wang
Hui Wang
Kristina Workman
Amanda L Christensen
Weichun Zhu
Andrew Myers
Bethany E Kok
Kimberly A Coffey
Michael A Cohn
Lahnna I Catalino
Tanya Vacharkulksemsuk
Sara B Algoe
Mary Brantley
William Hart
Russell Cropanzano
Barry M Goldman
Yi-Chia Wang
Daniel Leung
Astrid Dickinger
Andrew Lawrence
Benjamin Sovacool
Andrew Stirling
Daylian M Cain
Don A Moore
Uriel Haran
Mark W Nelson
Kristina Rennekamp
Hossein Mohammadi
Sanjiv Erat
Uri Gneezy
Hassan R HassabElnaby
Alexandre Viejo
David SÃ¡nchez
Muhammad Azhar Khan
Muhammad Zahir Khan
Muhammad Mushtaq Khan
Hina Zahoor
Shahriar Afandizadeh Zargari
